mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.5572329044342041,0.10222142908165613,0.004151201248168946,0.000638673464643189,relu,0.1,"(23,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (23,), 'MLP__learning_rate_init': 0.001}",0.6394119549170977,0.6476083164809122,0.6233242043087787,0.6235486513528791,0.6276480590859647,0.6323087273914527,0.009630385974803,143,0.6370052404095272,0.6375861853995985,0.6320096745802258,0.635041401445745,0.6311981559797598,0.6345681315629712,0.0025758326978545325
0.38150711059570314,0.06729877473910834,0.0036735057830810545,0.00028697403185101413,relu,0.1,"(23,)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (23,), 'MLP__learning_rate_init': 0.004}",0.6451423862790993,0.6199431400821612,0.652931565567254,0.6159998246743629,0.6459117180002711,0.6359856948651412,0.015008857248313039,136,0.6490018195577706,0.6167597802838504,0.6516929090319277,0.6288490688924346,0.6514282731214428,0.6395463701774853,0.014225220423312208
0.2873529434204102,0.10455878316316132,0.0035913944244384765,0.00028908665545947075,relu,0.1,"(23,)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (23,), 'MLP__learning_rate_init': 0.016}",0.6748865095302782,0.5902556731446467,0.6686549500775363,0.6151919664583919,0.6360092162970515,0.637001282988799,0.03193532955082898,134,0.678796456013454,0.5951434028648056,0.6714116759000821,0.6327850182042025,0.6446724139277331,0.6445617933820553,0.029912573638949006
0.46034793853759765,0.14066373455107206,0.0036286830902099608,0.00024149574994270867,relu,0.1,"(11,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (11,), 'MLP__learning_rate_init': 0.001}",0.6515414456164952,0.6389251631586426,0.6368545069268741,0.6304717468781456,0.6192416423727779,0.6354082468157222,0.010587430079816615,140,0.6488227204221707,0.6319790236391113,0.6373465443272367,0.6441867352647273,0.6215679578183645,0.636780596294322,0.009535862986629803
0.32576403617858884,0.05019042762765072,0.0034001827239990234,0.00017178707024529676,relu,0.1,"(11,)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (11,), 'MLP__learning_rate_init': 0.004}",0.6541684861910066,0.6611544890920249,0.6342865909138999,0.6404388582069024,0.6348444459909157,0.6449793792472917,0.010804989430233882,127,0.6512267952212011,0.6557054896331558,0.6408234145035027,0.6510798744629411,0.6407467661069344,0.647916467985547,0.006055580862354548
0.18109841346740724,0.024912527116172662,0.0033013343811035155,0.00016838843792987338,relu,0.1,"(11,)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (11,), 'MLP__learning_rate_init': 0.016}",0.6630719413481051,0.6604055765644035,0.647747367848301,0.6421188103248663,0.6266931970555857,0.6480088944092646,0.013188223258880501,114,0.6645794050576475,0.6505664613575877,0.6478649348052986,0.6539360493032789,0.6343132524597158,0.6502520205967057,0.009784553074053572
0.5284791946411133,0.15791351238800547,0.0047858238220214845,0.00034206884603289755,relu,0.1,"(46,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (46,), 'MLP__learning_rate_init': 0.001}",0.6573415099861037,0.6388662174702928,0.6456124759305106,0.6384165676681387,0.6467389961417219,0.6453955952107637,0.006869142543938939,125,0.6603900868305617,0.6348365920619242,0.6493264642682067,0.6502648176750853,0.6547734376249601,0.6499182796921475,0.008498928628267888
0.5137211799621582,0.165006454340094,0.004967832565307617,0.0002904607119530068,relu,0.1,"(46,)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (46,), 'MLP__learning_rate_init': 0.004}",0.6507224707856165,0.6538731851529413,0.6578694005374638,0.647030195306714,0.6644038176326985,0.6547792438269682,0.005991522718674718,71,0.6473215348687262,0.6458983537318903,0.6652165561818209,0.6557152368371372,0.676169881888549,0.6580643127016248,0.011383340573134969
0.3620934009552002,0.05206596895516478,0.004851722717285156,0.00036330556348520556,relu,0.1,"(46,)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (46,), 'MLP__learning_rate_init': 0.016}",0.6605786263686727,0.6555478472732329,0.6569119109587592,0.6408401423160516,0.6597365417907836,0.6547230488283574,0.0071781795735768004,72,0.6615756560228269,0.6493153156084025,0.6638957470555531,0.6512895574487526,0.6640170982071508,0.6580186748685372,0.0063906597254557865
0.6979494571685791,0.08168194568824406,0.00579833984375,0.0007783731504764862,relu,0.1,"(23, 23)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (23, 23), 'MLP__learning_rate_init': 0.001}",0.6527505163923405,0.6442537022426568,0.6494537699546269,0.6409255379927633,0.6581375828349745,0.6491039974223706,0.006089719826897898,107,0.644133678914509,0.6379825690703959,0.653875448148961,0.655228994653383,0.6592929503026621,0.6501027282179822,0.00784219373084056
