mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.06618213653564453,0.0007656598466748274,0.0024713516235351563,0.0006529261856056243,relu,10.0,"(16,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16,), 'MLP__learning_rate_init': 1e-06}",0.021667151679762024,0.027994955863808332,0.028997316260872378,0.027584311443075635,0.0398316427162581,0.02920662387322106,0.005891817712000003,3361,0.030793063698882916,0.02922018028195025,0.029402814465847193,0.02960809766776304,0.02670886280596243,0.029146603784081165,0.0013369701078643273
0.43845300674438475,0.15666033347101124,0.002167034149169922,5.964457128326334e-05,relu,10.0,"(16,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16,), 'MLP__learning_rate_init': 0.001}",0.8469363339476833,0.8683803796035828,0.8910983929899441,0.8634655802373332,0.858155957115604,0.8656132607248822,0.014607038353764925,2604,0.864585657590938,0.8580659080085785,0.8863975178584318,0.8637194198432444,0.8703503411258771,0.8686237688854138,0.009702727584612554
0.35596065521240233,0.08846418807020207,0.002304363250732422,0.00016064426599552407,relu,10.0,"(16,)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16,), 'MLP__learning_rate_init': 0.002}",0.8469816018365829,0.8955120121576617,0.8813108287257089,0.8852265011155303,0.8754088544914522,0.8768891371629669,0.01633143263163814,2567,0.8645284579965413,0.8879603602190809,0.8780347607167731,0.8864767584757115,0.8860340479192939,0.8806068770654802,0.008753453581354686
0.2687121868133545,0.02529408050276731,0.00216217041015625,6.658590000332144e-05,relu,10.0,"(16,)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16,), 'MLP__learning_rate_init': 0.004}",0.8779836388915834,0.9030685161832704,0.8918711805218741,0.8882303488860869,0.875952300116865,0.8874303271687272,0.009856587729859713,2529,0.8850780855995205,0.8976914651107598,0.8861787974224029,0.8907073888055321,0.8869668897726906,0.8893245253421812,0.004591389605797826
0.133192777633667,0.006684232354723242,0.0021031856536865234,4.412112152617789e-05,relu,10.0,"(16,)",0.008,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16,), 'MLP__learning_rate_init': 0.008}",0.8812623274161737,0.902111423675106,0.8931904161412358,0.8835418889643355,0.886159920365469,0.8892556578309024,0.007577167638496036,2513,0.894655271957682,0.8936359323965515,0.8889076944711697,0.8863308529325732,0.8954667442687618,0.8917992992053476,0.003556549949352891
0.12414202690124512,0.014156517336839005,0.0020638465881347655,2.5529542606772392e-05,relu,10.0,"(16,)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16,), 'MLP__learning_rate_init': 0.016}",0.8944611504510622,0.9003815436350117,0.8955120121576615,0.8804895398842436,0.8815599175939656,0.8904879345760792,0.007981541575479834,2499,0.9018605501760312,0.8996092510882249,0.893085282793794,0.8836022370867175,0.8977996572574126,0.8951913956804362,0.006473676002794993
0.08911442756652832,0.011233043232830602,0.0021273136138916016,0.00011259311781539042,relu,10.0,"(16,)",0.032,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16,), 'MLP__learning_rate_init': 0.032}",0.8887703301322469,0.8997445597697807,0.8931451482523362,0.9012481003653767,0.8839163306218792,0.8933724157141929,0.006528290492997053,2488,0.9000212074156868,0.8925272939651124,0.8924483994599799,0.9015185154123903,0.8895010831959129,0.8952032998898165,0.004698083424887048
0.08019909858703614,0.02230324591019903,0.0020905494689941405,5.9754107953979005e-05,relu,10.0,"(16,)",0.064,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16,), 'MLP__learning_rate_init': 0.064}",0.8889966695767453,0.8822161865037024,0.8697416496912083,0.8802179325508458,0.8804912720738698,0.8803326158754801,0.00618016768930971,2549,0.8967125700536996,0.8747862711908666,0.864743847625964,0.8910928544927834,0.8804838813981309,0.8815638849522889,0.011404385405977414
0.10643081665039063,0.017866940799599947,0.0020514011383056642,7.923699345841265e-05,relu,10.0,"(16,)",0.128,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16,), 'MLP__learning_rate_init': 0.128}",0.8692404694926764,0.8814919002813077,0.8765285996055227,0.870886280596243,0.8612354438331741,0.8718850100076053,0.006855587975963156,2577,0.8727801614609749,0.8746846413792727,0.871279521827071,0.8708838868033842,0.8710487599831861,0.8721353942907777,0.001441800832676464
0.061481475830078125,0.0010846457207934206,0.0017723560333251954,1.8338961210905656e-05,relu,10.0,"(8,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (8,), 'MLP__learning_rate_init': 1e-06}",0.0754745044782876,0.05535292786238563,0.06801176965111391,0.06473308112652376,0.06139157185815446,0.06499563786598112,0.006709264525753652,3340,0.06255504806234774,0.06739874193839897,0.06440110817911271,0.0655070032799585,0.06589307077957772,0.06515099444787913,0.0016143763752212116
